reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
87_CHW_CA69,"Northwich",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA70,"Onston",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA71,"Parkgate",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/Parkgateconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 27 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA72,"Picton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA73,"Poulton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA74,"Puddington",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-PuddingtonCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA75,"Pulford",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA76,"Saighton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA77,"Sandiway",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA78,"Saughall",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA79,"Sheaf",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-SheafCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA80,"Shotwick",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-ShotwickCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA81,"Stretton",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-StrettonCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA82,"Tarporley",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA83,"Tarvin",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-TarvinCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA84,"Tattenhall",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/TattenhallConservationAreaAppraisal.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 23 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA85,"Thornton le Moors",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA86,"Tilston",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA87,"Tilstone Bank",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA88,"Tiverton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA89,"Trent and Mersey Canal",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/TrentMerseyCanalConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"No map",local-authority:CHW,,,
87_CHW_CA90,"Waverton",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA91,"Weaverham - Church Street and High Street",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/weaverhamvillageconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 27 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA92,"Weaverham - West Road",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/WeaverhamWest-RoadConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 19 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA93,"Whitegate",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/willastonconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"No map",local-authority:CHW,,,
87_CHW_CA94,"Willaston",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/willastonconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"No map",local-authority:CHW,,,
87_CHW_CA95,"Winsford Over - St Chads",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
